method,N_req,frac,N,n_cand,kept,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou,grid_voxel
A_point,-1,0.02,23.666666666666668,76640.7435897436,1532.3589743589744,1532.3589743589744,59403.743589743586,0.20390868163179127,1.9625680201083195,1.0832383508700554,0.7849424515851033,0.09521501172021161,0.16918835738138505,0.84276434355737,0.1263124920675232,0.21888609418381294,0.8698175407233757,0.20952905519786413,0.3355194855026762,0.05019407329695685,
A_point,-1,0.05,23.666666666666668,76640.7435897436,3831.5384615384614,3831.5384615384614,59403.743589743586,0.20539378301438746,1.5024898500691017,0.8539418165417447,0.6992177093151118,0.18489653851488116,0.29083219742086935,0.8110004242473824,0.23854444589598367,0.3665609912516532,0.8833022599362474,0.34748328158144154,0.49488369221989903,0.09600967985431104,
A_point,-1,0.1,23.666666666666668,76640.7435897436,7663.5641025641025,7663.5641025641025,59403.743589743586,0.21692803395377647,1.1088281817774481,0.6628781078656123,0.5948647638846999,0.27850148591575863,0.3766395548247298,0.7568798278529723,0.360589334845848,0.48540944893752824,0.8898834497823458,0.4856037554726947,0.6246385861292377,0.13282243582377967,
A_point,-1,0.25,23.666666666666668,76640.7435897436,19159.82051282051,19159.82051282051,59403.743589743586,0.25894023126843546,0.5283561134477422,0.39364817235808885,0.44952924718075254,0.4289595999618758,0.4352111634223142,0.650458663848099,0.5458547399914058,0.5903215132523426,0.8648972821459119,0.7007185503119595,0.7712999230316259,0.15994731026551523,
A_point,-1,0.5,23.666666666666668,76640.7435897436,38320.07692307692,38320.07692307692,59403.743589743586,0.3662493877282477,0.3234297338657863,0.344839560797017,0.32612489111286275,0.5495192523029632,0.4058170319178415,0.5219633440525878,0.6879867280859094,0.5902280447379666,0.7884189761990447,0.829122792103368,0.8062983515959,0.1453931481620279,
A_point,-1,1.0,23.666666666666668,76640.7435897436,76640.7435897436,76640.7435897436,59403.743589743586,0.5646359442861818,0.2611282379417207,0.4128820911139513,0.22603022705690387,0.6633699806783862,0.33449765036379464,0.38999883243951716,0.7724532035405679,0.514616147328285,0.6691959649032534,0.8676931617290355,0.7527794527151989,0.11421622680523254,
A_point,1,0.02,1.0,9476.871794871795,188.94871794871796,188.94871794871796,59403.743589743586,0.21436640891680048,3.011085642102425,1.6127260255096127,0.7652388087182437,0.015620144149258644,0.030585182351531508,0.8108352754839911,0.025204810114063343,0.04880585545172012,0.8512189140095245,0.05884569573496996,0.10956463811967455,0.00673850678088673,
A_point,1,0.05,1.0,9476.871794871795,473.35897435897436,473.35897435897436,59403.743589743586,0.19009333581877888,2.6965256593454945,1.4433094975821366,0.754046159551963,0.03659605792882069,0.06966345865434838,0.8288598134922216,0.05581052668125666,0.10419661282902691,0.8865838391132801,0.1077368359007637,0.19028244283287918,0.01650782777892254,
A_point,1,0.1,1.0,9476.871794871795,947.2307692307693,947.2307692307693,59403.743589743586,0.1885529922050269,2.2947127872646362,1.2416328897348314,0.7018689751465612,0.06610851511042015,0.12042698802071716,0.8093885396656422,0.10058951990197744,0.17788822650326347,0.8978793821475364,0.17988148697245773,0.29591041385383055,0.029943473571042326,
A_point,1,0.25,1.0,9476.871794871795,2368.948717948718,2368.948717948718,59403.743589743586,0.21495415128156467,1.449471003745307,0.8322125775134358,0.5984977362662012,0.13182296052902417,0.2146164971666552,0.7443898216722575,0.2140947071676423,0.3291481600611549,0.8866126340416628,0.3737086666147358,0.5163886265915006,0.056497892722942464,
A_point,1,0.5,1.0,9476.871794871795,4738.282051282052,4738.282051282052,59403.743589743586,0.2633742816078293,0.8908449110881296,0.5771095963479794,0.5095412236449929,0.20146519824620288,0.28600626419544994,0.672144838569988,0.32732908332178823,0.43553221943934783,0.8493236256245843,0.5311359911845034,0.6444326490434212,0.08155180092790268,
A_point,1,1.0,1.0,9476.871794871795,9476.871794871795,9476.871794871795,59403.743589743586,0.385945107698832,0.6589276718316542,0.5224363897652431,0.3852910509103563,0.2635718118529843,0.3101814057882413,0.5496912691940804,0.4130263448973494,0.4683985321378118,0.7680560768374977,0.6351516826131606,0.6892205778067895,0.09732368536724503,
A_point,2,0.02,2.0,16246.948717948719,324.5128205128205,324.5128205128205,59403.743589743586,0.1634797404854689,2.281620037332602,1.2225498889090356,0.724038839761998,0.02440038020795457,0.047138955948294516,0.8441628761418452,0.044324634395605855,0.08401470900481718,0.9026004257987049,0.10563338920437225,0.1881935545639137,0.010105808548308353,
A_point,2,0.05,2.0,16246.948717948719,811.9230769230769,811.9230769230769,59403.743589743586,0.1623616651762481,2.0114169225586274,1.086889293867438,0.715245961171379,0.057176403518455425,0.1055837681448676,0.8399018574374119,0.0930370114534631,0.16690039889067265,0.9096296429234376,0.17841153303963128,0.2965195071229307,0.025014709679209653,
A_point,2,0.1,2.0,16246.948717948719,1624.3076923076924,1624.3076923076924,59403.743589743586,0.1695310150046462,1.6834630252792904,0.9264970201419683,0.6845042745743966,0.10467017462039375,0.18082758717282746,0.8198276356682694,0.16317724244242543,0.27091273086882695,0.9083488143439477,0.27950525521303027,0.4243446555916847,0.04667029716230489,
A_point,2,0.25,2.0,16246.948717948719,4061.3846153846152,4061.3846153846152,59403.743589743586,0.21167410743009257,0.9727248891437343,0.5921994982869134,0.5817644491721544,0.20447065190180402,0.30083514757620333,0.742557021434169,0.3240231642854579,0.44847009334595794,0.8850677203676162,0.5148682882427057,0.6476901483973219,0.08638282317784671,
A_point,2,0.5,2.0,16246.948717948719,8123.2307692307695,8123.2307692307695,59403.743589743586,0.27649990903977156,0.6019674670378969,0.4392336880388342,0.4826647760707833,0.2934530219304064,0.36262332383625867,0.6567520922952639,0.45261796154448714,0.5335024711834669,0.8446598940273151,0.669282086484183,0.7443838076688667,0.11459628953345942,
A_point,2,1.0,2.0,16246.948717948719,16246.948717948719,16246.948717948719,59403.743589743586,0.4333413213268042,0.44549982690820106,0.4394205741175027,0.35770144105126067,0.37232661370836784,0.3624858168019683,0.5264272260375452,0.5546830537898281,0.5378840960635889,0.7537341686118633,0.7647544847576864,0.7569438481227299,0.12222337147725544,
A_point,4,0.02,4.0,28508.5641025641,569.6666666666666,569.6666666666666,59403.743589743586,0.2053916117489971,2.1792181750388515,1.1923048933939244,0.766502545522462,0.04319672531807418,0.08169695816946894,0.8366964825767338,0.06927690979312293,0.12773221310286748,0.8671146968425208,0.1441841182354854,0.24599262762208157,0.019617800624007073,
