method,N_req,frac,N,n_cand,kept,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou,grid_voxel
A_point,-1,0.02,23.666666666666668,84042.51282051283,1680.3076923076924,1680.3076923076924,59403.743589743586,0.20618772999304222,1.8912909461782839,1.048739338085663,0.7838520238003057,0.10651572875774096,0.18673513000547518,0.828927579675616,0.13665242486405263,0.23379173879649337,0.8683861619178137,0.22230114994766184,0.3519063045906798,0.052611044347141825,
A_point,-1,0.05,23.666666666666668,84042.51282051283,4201.717948717948,4201.717948717948,59403.743589743586,0.21279375955028776,1.4365100008925968,0.8246518802214424,0.6842995604665213,0.19889708958240812,0.3064866793163945,0.7922984466003267,0.25471631006269657,0.38314886220259226,0.8778310913771008,0.36834004168693446,0.5147615570941887,0.10102887348322054,
A_point,-1,0.1,23.666666666666668,84042.51282051283,8403.871794871795,8403.871794871795,59403.743589743586,0.22863014002351215,1.0753550666059184,0.6519926033147153,0.5676912638192001,0.287967686356787,0.37965886734088333,0.7303839702030944,0.3681192232251084,0.48654763046752436,0.8800194956956324,0.49218702041901125,0.6280659654895406,0.13365913348765304,
A_point,-1,0.25,23.666666666666668,84042.51282051283,21010.17948717949,21010.17948717949,59403.743589743586,0.28724152398836766,0.5423081195337088,0.4147748217610383,0.4049499803233256,0.42656844964387647,0.41227907477812326,0.5974537512583393,0.5377702305531618,0.5624595005887948,0.8373710161602325,0.6970921458161649,0.7573354204001334,0.15022371192403616,
A_point,-1,0.5,23.666666666666668,84042.51282051283,42021.02564102564,42021.02564102564,59403.743589743586,0.40214929746603373,0.32753249035062504,0.36484089390832936,0.2891261011304504,0.5413215284772307,0.37371917964342594,0.4675820621633206,0.6759051497658569,0.5485115673820159,0.7491817091809412,0.8267071026204397,0.7831532180257355,0.1320446925328744,
A_point,-1,1.0,23.666666666666668,84042.51282051283,84042.51282051283,84042.51282051283,59403.743589743586,0.6045948985061248,0.24609129909241304,0.4253430987992689,0.19922247917276797,0.6622436542814445,0.30401428022655314,0.34547999199156376,0.7798093618857774,0.47539493479362366,0.6231119701529817,0.8826799284878004,0.7273840963252491,0.10170705697987846,
A_point,1,0.02,1.0,9340.461538461539,186.33333333333334,186.33333333333334,59403.743589743586,0.21684799321231651,3.0054953043934156,1.611171648802866,0.7528943500671984,0.015433652717352602,0.030216655074357116,0.7955630077947763,0.024526697302675513,0.04751020394967965,0.8464945068962786,0.058336668470959925,0.10864396231069823,0.006986886628916232,
A_point,1,0.05,1.0,9340.461538461539,466.5128205128205,466.5128205128205,59403.743589743586,0.199399025740427,2.70035531483338,1.4498771702869035,0.7312521432583802,0.03544453494616881,0.06748159230065101,0.8084812027830646,0.05355508100545604,0.10016544788625555,0.8762029103605607,0.10452472761290454,0.18527180891132775,0.016408704157932948,
A_point,1,0.1,1.0,9340.461538461539,933.5897435897435,933.5897435897435,59403.743589743586,0.20251122966517904,2.3263940875036715,1.2644526585844251,0.6761961467628564,0.0635566880993893,0.11576109589122623,0.7849519506033001,0.09615897639822649,0.17040091581462471,0.8810267410455742,0.17172387570220798,0.2839766979940437,0.02938044309207184,
A_point,1,0.25,1.0,9340.461538461539,2334.74358974359,2334.74358974359,59403.743589743586,0.22925756277352485,1.4879767665622352,0.8586171646678801,0.5721954362774794,0.12394955560311992,0.20228221619272765,0.7125329858508133,0.19711979175072414,0.305588550184877,0.8701632872021628,0.34987980159619,0.49097473833572525,0.05560361580149719,
A_point,1,0.5,1.0,9340.461538461539,4670.0,4670.0,59403.743589743586,0.28402684050116556,0.9325610888656255,0.6082939646833955,0.4793927344388879,0.1856272130528395,0.26510184577952794,0.6316001913163887,0.29724040248272093,0.4000680545829077,0.8269575605579857,0.4992650187658701,0.6144622368840649,0.07944134113923536,
