scene,seq,N_req,N,method,frac,n_cand,kept,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou,grid_voxel
apartment_2,seq_0000,1,1,A_point,1.0,8039,8039,8039,14393,0.5756092020073144,0.7305585353057035,0.6530838686565089,0.22328647841771365,0.3514903077885083,0.2730904758422017,0.35688518472446823,0.4710623219620649,0.40610102073492454,0.5684786665008086,0.6050858055999444,0.5862112905825809,0.040763742071881603,
apartment_2,seq_0000,1,1,A_point,0.5,8039,4019,4019,14393,0.3217024538823298,0.7377064375026041,0.529704445692467,0.38342871361035086,0.34224970471757105,0.36167084675261985,0.5367006718089077,0.4611269367053429,0.49605189234530317,0.7743219706394625,0.6024456332939624,0.6776552391886139,0.044232823068707725,
apartment_2,seq_0000,1,1,A_point,0.25,8039,2009,2009,14393,0.18622379449529336,0.7818053456628588,0.48401457007907606,0.5893479342956695,0.31022024595289377,0.4064787197753363,0.6933797909407665,0.4029041895365803,0.5096592264139278,0.9133897461423593,0.5665948725074689,0.6993612504396004,0.030743135799851586,
apartment_2,seq_0000,1,1,A_point,0.1,8039,803,803,14393,0.12078264674065697,1.1987657453078617,0.6597741960242594,0.7384806973848069,0.18536788716737304,0.29634857676264176,0.821917808219178,0.2575557562704092,0.392209072369645,0.987546699875467,0.40158410338358924,0.5709801482891081,0.009482043380348465,
apartment_2,seq_0000,1,1,A_point,0.05,8039,401,401,14393,0.09741422511053066,1.4637142784273995,0.780564251768965,0.8154613466334164,0.10928923782394219,0.19274634814261335,0.9027431421446384,0.1574376432988258,0.2681160699285431,1.0,0.2799277426526784,0.43741179025078714,0.006823821339950372,
apartment_2,seq_0000,1,1,A_point,0.02,8039,160,160,14393,0.07543404519045893,1.6553176012218456,0.8653758232061523,0.9125,0.05356770652400472,0.10119483732466475,0.96875,0.08997429305912596,0.16465589194931327,1.0,0.19294101299242689,0.3234711706464764,0.002546473134708429,
apartment_2,seq_0000,1,1,B_argmax,1.0,9416,9416,9416,14393,0.5470330455916502,0.57013335729195,0.5585832014418002,0.26380628717077315,0.3883832418536789,0.31419682921320274,0.3935853865760408,0.5110122976446884,0.4446771779807451,0.5994052676295667,0.6629611616758146,0.6295833021493771,0.06133828996282528,
apartment_2,seq_0000,1,1,B_argmax,0.5,9416,4708,4708,14393,0.340084472123908,0.6342206869958767,0.4871525795598924,0.39124893797790994,0.3421107482804141,0.3650336102287237,0.5541631265930331,0.4873897033280067,0.5186360098238605,0.7548853016142736,0.641839783227958,0.6937878092234679,0.05872325918349953,
apartment_2,seq_0000,1,1,B_argmax,0.25,9416,2354,2354,14393,0.21102933575638191,0.766163171450325,0.48859625360335346,0.4927782497875956,0.27207670395331063,0.35058537916591037,0.6809685641461343,0.4199958313068853,0.519551693721627,0.8721325403568394,0.6010560689223928,0.7116543706411778,0.03825925543982675,
apartment_2,seq_0000,1,1,B_argmax,0.1,9416,941,941,14393,0.15600651951880365,1.1300004459039277,0.6430034827113656,0.5802337938363443,0.1582713819217675,0.2487034821222902,0.7853347502656748,0.2692280969915931,0.4009892456676218,0.9489904357066951,0.4186062669353158,0.5809510111878143,0.015368371656499296,
apartment_2,seq_0000,1,1,B_argmax,0.05,9416,470,470,14393,0.12840246542178152,1.4289899057061577,0.7786961855639696,0.597872340425532,0.08886264156187035,0.15472785537511816,0.8382978723404255,0.16230111859931912,0.27195046893361,0.9829787234042553,0.28875147641214477,0.44637857574771994,0.009000123289360128,
apartment_2,seq_0000,1,1,B_argmax,0.02,9416,188,188,14393,0.11867997999980863,1.6191938089389448,0.8689368944693767,0.5212765957446809,0.037587716250955326,0.07011933433054142,0.851063829787234,0.0967136802612381,0.17368952996518724,1.0,0.213992913221705,0.35254392491272246,0.002155992390615092,
apartment_2,seq_0000,1,1,C_on_B,1.0,9416,9416,9416,14393,0.5470330455916502,0.57013335729195,0.5585832014418002,0.26380628717077315,0.3883832418536789,0.31419682921320274,0.3935853865760408,0.5110122976446884,0.4446771779807451,0.5994052676295667,0.6629611616758146,0.6295833021493771,0.06133828996282528,
