scene,seq,n_steps,N_req,N,seed,span_m,n_ref_subset,n_ref_fixed,variant,ref,frac,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou,kept_frac_vox
apartment_2,seq_0011,15,1,1,0,0.0,12126,51469,support_match0,fixed,1.0,12097,51469,0.8050285394064711,0.9329751706859686,0.8690018550462199,0.32512193105728693,0.3274009598010453,0.32625746551360474,0.4375464991320162,0.43027842001981775,0.4338820243044611,0.6255269901628503,0.5585692358507063,0.590154964137611,0.08850224215246637,1.0
apartment_2,seq_0011,15,1,1,0,0.0,12126,51469,support_match0,fixed,0.25,3024,51469,0.42172047699841414,1.1211890299139855,0.7714547534561998,0.5165343915343915,0.1527132837241835,0.23573234843800622,0.5674603174603174,0.22794303367075328,0.3252403351475413,0.7086640211640212,0.420058676096291,0.5274643120932652,0.05579548275006205,1.0
apartment_2,seq_0011,15,1,1,0,0.0,12126,51469,contra1,subset,1.0,12097,12126,0.831713563467079,0.42377656271792014,0.6277450630924996,0.2936265189716459,0.6123206333498268,0.3969184639618447,0.4069604034058031,0.7222497113640112,0.5205887372986185,0.5979995040092585,0.8408378690417285,0.6989262832017604,0.10740396889868864,1.0
apartment_2,seq_0011,15,1,1,0,0.0,12126,51469,contra1,subset,0.25,3024,12126,0.3302337427340505,0.5103009672015779,0.4202673549678142,0.5671296296296297,0.45596239485403267,0.5055064020250035,0.6345899470899471,0.5666336796965199,0.5986895841866697,0.7880291005291006,0.7547418769586014,0.7710263818935145,0.1233030405026366,1.0
apartment_2,seq_0011,15,1,1,0,0.0,12126,51469,contra1,fixed,1.0,12097,51469,0.8050285394064711,0.9329751706859686,0.8690018550462199,0.32512193105728693,0.3274009598010453,0.32625746551360474,0.4375464991320162,0.43027842001981775,0.4338820243044611,0.6255269901628503,0.5585692358507063,0.590154964137611,0.08850224215246637,1.0
apartment_2,seq_0011,15,1,1,0,0.0,12126,51469,contra1,fixed,0.25,3024,51469,0.3214010901791278,1.0523026383548324,0.6868518642669801,0.5783730158730159,0.16804289960947366,0.26042177458221083,0.6448412698412699,0.2495871301171579,0.35988142131503625,0.7939814814814815,0.4448697274087315,0.5702352674792436,0.06148625043669212,1.0
apartment_2,seq_0011,15,1,1,0,0.0,12126,51469,support_match1,subset,1.0,12097,12126,0.831713563467079,0.42377656271792014,0.6277450630924996,0.2936265189716459,0.6123206333498268,0.3969184639618447,0.4069604034058031,0.7222497113640112,0.5205887372986185,0.5979995040092585,0.8408378690417285,0.6989262832017604,0.10740396889868864,1.0
apartment_2,seq_0011,15,1,1,0,0.0,12126,51469,support_match1,subset,0.25,3024,12126,0.4279615677555313,0.5397069102177054,0.48383423898661837,0.5089285714285714,0.4289130793336632,0.4655074138686372,0.560515873015873,0.5377700808180769,0.5489074412348063,0.7040343915343915,0.7370113805047006,0.7201455621958868,0.11133311133311133,1.0
apartment_2,seq_0011,15,1,1,0,0.0,12126,51469,support_match1,fixed,1.0,12097,51469,0.8050285394064711,0.9329751706859686,0.8690018550462199,0.32512193105728693,0.3274009598010453,0.32625746551360474,0.4375464991320162,0.43027842001981775,0.4338820243044611,0.6255269901628503,0.5585692358507063,0.590154964137611,0.08850224215246637,1.0
apartment_2,seq_0011,15,1,1,0,0.0,12126,51469,support_match1,fixed,0.25,3024,51469,0.42172047699841414,1.1211890299139855,0.7714547534561998,0.5165343915343915,0.1527132837241835,0.23573234843800622,0.5674603174603174,0.22794303367075328,0.3252403351475413,0.7086640211640212,0.420058676096291,0.5274643120932652,0.05579548275006205,1.0
apartment_2,seq_0011,15,1,1,0,0.0,12126,51469,contra2,subset,1.0,12097,12126,0.831713563467079,0.42377656271792014,0.6277450630924996,0.2936265189716459,0.6123206333498268,0.3969184639618447,0.4069604034058031,0.7222497113640112,0.5205887372986185,0.5979995040092585,0.8408378690417285,0.6989262832017604,0.10740396889868864,1.0
apartment_2,seq_0011,15,1,1,0,0.0,12126,51469,contra2,subset,0.25,3024,12126,0.3302337427340505,0.5103009672015779,0.4202673549678142,0.5671296296296297,0.45596239485403267,0.5055064020250035,0.6345899470899471,0.5666336796965199,0.5986895841866697,0.7880291005291006,0.7547418769586014,0.7710263818935145,0.1233030405026366,1.0
apartment_2,seq_0011,15,1,1,0,0.0,12126,51469,contra2,fixed,1.0,12097,51469,0.8050285394064711,0.9329751706859686,0.8690018550462199,0.32512193105728693,0.3274009598010453,0.32625746551360474,0.4375464991320162,0.43027842001981775,0.4338820243044611,0.6255269901628503,0.5585692358507063,0.590154964137611,0.08850224215246637,1.0
apartment_2,seq_0011,15,1,1,0,0.0,12126,51469,contra2,fixed,0.25,3024,51469,0.3214010901791278,1.0523026383548324,0.6868518642669801,0.5783730158730159,0.16804289960947366,0.26042177458221083,0.6448412698412699,0.2495871301171579,0.35988142131503625,0.7939814814814815,0.4448697274087315,0.5702352674792436,0.06148625043669212,1.0
